date,Count Responded To,Avg Days To Respond,MMR Target
3/1/2019,1283,0.26,1
4/1/2019,1395,0.26,1
5/1/2019,1496,0.27,1
6/1/2019,1387,0.36,1
7/1/2019,1369,0.33,1
8/1/2019,1541,0.32,1
9/1/2019,1411,0.31,1
10/1/2019,1453,0.29,1
11/1/2019,1286,0.37,1
12/1/2019,1227,0.29,1
1/1/2020,1353,0.24,1
2/1/2020,1278,0.26,1
