date,Count Responded To,Avg Days To Respond,MMR Target
4/1/2019,1463,42.25,40
5/1/2019,1486,35.55,40
6/1/2019,1221,32.52,40
7/1/2019,1421,15.34,40
8/1/2019,1548,22.29,40
9/1/2019,1427,17.45,40
10/1/2019,1489,14.35,40
11/1/2019,1326,11.91,40
12/1/2019,1266,22.65,40
1/1/2020,996,17.81,40
2/1/2020,842,16.38,40
3/1/2020,573,18.61,40
