date,Count Responded To,Avg Days To Respond,MMR Target
4/1/2019,5173,9.31,40
5/1/2019,5807,11.44,40
6/1/2019,5717,13.44,40
7/1/2019,6824,12.92,40
8/1/2019,6422,13.43,40
9/1/2019,6522,13.68,40
10/1/2019,6103,12.3,40
11/1/2019,5159,13.12,40
12/1/2019,5174,12.51,40
1/1/2020,5475,11.74,40
2/1/2020,5104,10.41,40
3/1/2020,4407,9.03,40
